name,percentage_insurance_employer,percentage_insurance_private,percentage_insurance_public,percentage_insurance_none
Austria,13.20754716981132,8.176100628930817,77.04402515723271,1.572327044025157
Belgium,24.334600760456272,20.53231939163498,53.2319391634981,1.9011406844106464
Bulgaria,25.449871465295637,9.768637532133676,57.84061696658098,6.940874035989718
Croatia,15.68627450980392,7.352941176470589,75.73529411764706,1.2254901960784317
Cyprus,21.875,27.34375,37.5,13.28125
Czech Republic,13.174946004319654,7.775377969762419,77.5377969762419,1.511879049676026
Denmark,7.82608695652174,5.652173913043479,78.26086956521739,8.26086956521739
Estonia,7.177033492822966,3.827751196172249,80.38277511961722,8.61244019138756
Finland,19.07894736842105,11.513157894736842,56.57894736842105,12.828947368421051
France,29.75206611570248,14.669421487603309,53.099173553719005,2.479338842975207
Germany,10.782442748091604,14.31297709923664,74.23664122137404,0.6679389312977099
Greece,11.781609195402298,10.632183908045976,72.98850574712644,4.597701149425287
Hungary,8.141592920353983,5.132743362831858,83.00884955752213,3.7168141592920354
Ireland,18.20040899795501,33.33333333333333,30.06134969325153,18.404907975460123
Italy,7.330316742081449,3.619909502262444,76.38009049773756,12.669683257918551
Latvia,25.0,9.45945945945946,45.94594594594595,19.594594594594597
Lithuania,13.068181818181818,4.545454545454546,79.54545454545455,2.840909090909091
Luxembourg,12.307692307692308,26.15384615384616,61.53846153846154,
Malta,19.230769230769237,14.102564102564102,55.12820512820513,11.538461538461538
Netherlands,7.065217391304348,36.95652173913043,55.16304347826087,0.8152173913043478
Poland,31.03448275862069,13.505747126436782,53.01724137931034,2.442528735632184
Portugal,16.448598130841123,18.50467289719626,52.5233644859813,12.52336448598131
Romania,25.02870264064294,7.807118254879448,61.30884041331802,5.855338691159587
Slovakia,12.048192771084338,11.44578313253012,74.69879518072288,1.8072289156626504
Slovenia,21.62162162162162,11.891891891891891,65.4054054054054,1.0810810810810811
Spain,7.399577167019028,18.710359408033828,67.5475687103594,6.342494714587738
Sweden,9.368191721132897,5.664488017429194,76.90631808278867,8.061002178649238
